Funzione,Dimensioni,Best,Mean,Std,Worst,RMSE,Tempo medio (s),Valore ottimo teorico
Ackley,2,0.0011349501906470216,0.14738008493184918,0.10452727786935948,0.3937800827999003,0.18068436914491903,3.0077593167622885,0.0
Ackley,10,0.04117910119250512,0.09976458048367715,0.05665800804157964,0.23547151087720453,0.11473055998435551,10.450917172431947,0.0
Ackley,30,0.0023960760765224798,0.012428419260271273,0.009915849684709465,0.033905197224438854,0.0158993610022175,32.300871737798055,0.0
Ackley,50,0.0019162502402036985,0.005393872352674922,0.003450017146535833,0.014325742200874902,0.0064028491523963095,53.64193885326385,0.0
Ackley,100,0.001814384533713298,0.0032408366851552906,0.0015446116997863168,0.0069667689535610755,0.003590104138178321,96.2271545569102,0.0
Cross-in-tray,2,-2.0626005346129372,-2.0613891037217176,0.0013361920806270753,-2.05667291671761,0.0018099715463661078,0.23463700612386068,-2.06261
Goldstein-Price,2,620.7191382998014,1.9584243954955363e+108,1.0546437926863127e+109,5.875273075986742e+109,1.072673198406901e+109,1.258937931060791,3.0
McCormick,2,-5.054792753371674,-2.7504839743506797,1.3892433989245045,-1.911016100303355,1.621996987779234,0.12074150244394938,-1.9133
Schaffer N2,2,5.2410773069833105e-06,0.0005636856243548983,0.000633325427002204,0.002605325937688807,0.0008478458465970658,0.3661734342575073,0.0
Alpine1,2,0.0005446445430232215,0.009514303197891628,0.04209266121952497,0.2361562429718005,0.043154537349890706,0.31733701229095457,0.0
Alpine1,10,0.0027882904172890502,0.018256055810227857,0.02959786788092061,0.14356084379140008,0.03477524057203035,4.709425687789917,0.0
Alpine1,30,0.013342702737321271,0.2384059491789526,0.24310658008607502,0.8076693849500128,0.3404969983495662,13.239138754208883,0.0
Alpine1,50,0.14101486533714425,1.3987248399079621,0.8469128973320609,3.8580010271575516,1.635143000915498,21.788420740763346,0.0
Alpine1,100,3.102844181711948,6.391667770735682,2.23638830482345,11.96931237201349,6.771620894690751,44.15200119813283,0.0
Bohachevsky,2,0.0017817455904696189,0.12542454570870565,0.09260015919840606,0.31831914660367805,0.15590415693561652,1.2607791662216186,0.0
Bukin N4,2,2.852231627416574,17.759172845035618,7.15413970893191,30.90704908191901,19.14601616824677,1.3526490688323975,0.0
Csendes,2,1.0846568890206195e-09,7.898426613706951e-06,2.8122737734486516e-05,0.0001549412090036945,2.9210845942129548e-05,0.018927788734436034,0.0
Csendes,10,5.5301543801781184e-05,0.0006994585883526865,0.0005361947945043352,0.0024577006996721606,0.0008813326128504942,0.4184865951538086,0.0
Csendes,30,0.0005828316556166811,0.0022003463034706732,0.0009010364533284274,0.0046065499993451255,0.002377685964425018,7.57831236521403,0.0
Csendes,50,0.0009824105184626402,0.004251542572917095,0.0038880483298266216,0.017487262023535243,0.005761296213908297,16.037222305933636,0.0
Csendes,100,0.0014480546701359637,0.004145956907112689,0.0014710461030098291,0.008122086313045779,0.004399197121386563,46.720985635121664,0.0
Deb1,2,-0.999094604424769,-0.9574677168489155,0.03665021320573344,-0.8481862511928484,0.9581689135720802,1.8299995422363282,0.0
Deb1,10,-0.7776953614289834,-0.6210291281716096,0.06919998468930488,-0.526027199662794,0.6248726397583667,5.015611592928568,0.0
Deb1,30,-0.5960379251933889,-0.5444193544309678,0.028925503640251923,-0.474349108396285,0.545187232278851,14.977723781267802,0.0
Deb1,50,-0.8322954582013163,-0.7942822698385278,0.017961690701341165,-0.7579418788182148,0.7944853343597316,26.373103634516397,0.0
Deb1,100,-0.9996438126712467,-0.9570436911721016,0.14807305088090936,-0.3910909116061684,0.9684308210757759,57.47722603480021,0.0
Three-hump Camel,2,2.161104934688779e-06,0.0005989427584081466,0.0005513346786775522,0.0024039020998768233,0.0008140653264708176,0.13352251052856445,0.0
Booth,2,0.00010541600517187514,0.0009224179607816593,0.0009057972018320624,0.0037369337418509422,0.0012927967609873523,0.21150424480438232,0.0
Beale,2,40.101328490074756,7.015802877551306e+129,3.1658271394703067e+130,1.7377301409833482e+131,3.242634172578417e+130,0.5688800811767578,0.0
Dixon-Price,2,4.3849682148622936e-06,3.4500020294117266e+48,1.8562048962710273e+49,1.0340965675319172e+50,1.8879941093578617e+49,1.6587402900060018,0.0
Dixon-Price,10,1.4648952229596263e+35,1.0917569466725815e+115,5.8792910716494485e+115,3.275270831661929e+116,5.979799054799813e+115,6.14720196723938,0.0
Dixon-Price,30,8.851548366105851e+16,3.6075898333345715e+48,1.6430503581494021e+49,9.17564896763071e+49,1.682189502841659e+49,54.06951738198598,0.0
Dixon-Price,50,2.920330621831823e+48,1.4973823810206986e+53,4.648479101617236e+53,2.525444266031901e+54,4.8836985936033565e+53,132.7600897550583,0.0
Dixon-Price,100,3.439846171989476e+55,4.012860522356651e+59,1.1655664619965539e+60,6.3002162363163186e+60,1.232710701279927e+60,485.71613064606987,0.0
Matyas,2,1.6203126898391582e-05,0.0006485130093130791,0.0008799905835371185,0.004403892103372392,0.001093138852279208,0.10966269969940186,0.0
Schwefel 1.2,2,1.0170625812658357e-05,0.0006085545835993713,0.0006963841407278733,0.0026695465116408777,0.0009248186593473895,0.4833854118982951,0.0
Schwefel 1.2,10,5094.611315868158,4.3183313442344226e+22,1.150787572945797e+23,5.6162578514584064e+23,1.2291427476222819e+23,6.080450010299683,0.0
Schwefel 1.2,30,46022.97114855133,1.272317338696237e+25,1.6631515556463247e+25,6.1708253195319515e+25,2.094006806912496e+25,80.25552848180135,0.0
Schwefel 1.2,50,124007.12864747534,2.4815491446592658e+26,6.310565646950309e+26,3.172314349682456e+27,6.780953099810419e+26,219.88059056599934,0.0
Schwefel 1.2,100,6.580768180191044e+17,3.030356038557504e+27,4.297487244618433e+27,1.8730031043069585e+28,5.258465017291649e+27,1157.5785093069076,0.0
Schwefel 2.22,2,0.015102666730271897,0.04132483845011355,0.014827441331363099,0.06383202291096714,0.04390438804223329,1.9415356079737345,0
Schwefel 2.22,10,0.43117400313809023,3.5598361829928826e+176,inf,1.0679508548978647e+178,inf,3.487708655993144,0
Schwefel 2.22,30,inf,inf,,inf,inf,1.421277689933777,0
Schwefel 2.22,50,inf,inf,,inf,inf,1.5162569443384806,0
Schwefel 2.22,100,inf,inf,,inf,inf,2.8661770820617676,0
Colville,4,244993549425070.62,3.3099517157659515e+96,1.782463549305727e+97,9.929855147297853e+97,1.812935218977939e+97,1.4556872129440308,0
Zakharov,2,1.4637261437982625e-05,0.001116617913615646,0.0010226834105211194,0.00546600184785108,0.0015141720256174548,0.45115601221720375,0
Zakharov,10,44877.090965063544,6.357732730047628e+68,3.423718028209721e+69,1.907305910780033e+70,3.482248238043268e+69,3.328870407740275,0
Zakharov,30,402337116.8620053,1.9812684844527397e+134,8.416177373445009e+134,4.5333701988306696e+135,8.646240014525007e+134,1.9720539172490439,0
Zakharov,50,3625746673707.2524,4.2333343216175907e+160,inf,1.089812561116813e+162,inf,3.633685564994812,0
Zakharov,100,418553992829860.0,1.1703889843686908e+60,2.4622655360873614e+60,1.2035079024545154e+61,2.7262725368046312e+60,53.26919373671214,0
Quartic,2,1.7630545877733558e+17,1.6833783491056394e+113,7.900925719629585e+113,4.378963118979424e+114,8.078266515369614e+113,1.5178425073623658,0
Quartic,10,4.776887659249806e+44,2.6069979743375233e+53,1.3137788344702353e+54,7.332290302280443e+54,1.339395091182572e+54,4.849088676770529,0
Quartic,30,5.354935950353064e+45,4.9809142011209324e+57,1.3259701115320293e+58,7.187146070896819e+58,1.4164363026502617e+58,14.64614979426066,0
Quartic,50,9.241832444816256e+56,1.1146836063687493e+60,3.298297685068422e+60,1.8047031510258728e+61,3.481563895957526e+60,26.144936577479044,0
Quartic,100,81.31877356998613,3.5203047740946326e+63,8.89686268260345e+63,4.808166890391912e+64,9.56800456185172e+63,40.45263021787007,0
Easom,2,-0.9999098974501185,-0.0666491479911633,0.24937828087477015,-2.6921998369720832e-276,0.9660917864870175,0.058787059783935544,-1
Chung Reynolds,2,4.3425835108027825e-06,1.3620344166096724e+43,4.000295705025847e+43,2.142817944389486e+44,4.225813942860888e+43,1.4394662777582805,0
Chung Reynolds,10,3.161368643591952e+21,4.293923929415305e+61,2.284561906538287e+62,1.2731913475883146e+63,2.3245646757881146e+62,3.997161102294922,0
Chung Reynolds,30,2.3428303895551143e+53,1.1107422888600076e+71,4.863455597925483e+71,2.7120971717778104e+72,4.988682068969187e+71,6.903981900215149,0
Chung Reynolds,50,6.867739296862719e+58,7.373316326675182e+73,1.0359994422201798e+74,3.9149605178904464e+74,1.2715945819374473e+74,10.746971027056377,0
Chung Reynolds,100,8.998819519556229e+26,2.0122520168914264e+80,9.231511367943143e+80,5.1659653109046195e+81,9.448278166732132e+80,24.563361358642577,0
