Funzione,Dimensioni,Best,Mean,Std,Worst,RMSE,Tempo medio (s),Valore ottimo teorico
Sphere,2,1.880719570133714e-05,0.0005903205044036314,0.00048497924713635654,0.002376786485666403,0.0007639916020954058,0.12129813035329183,0
Sphere,10,0.0009466149608429416,0.003046523091060344,0.0035705484951377552,0.020427675549058607,0.004693625411182103,3.004877273241679,0
Sphere,30,0.0006283370840159313,0.0021847919862436277,0.0010535195328155082,0.004932875883935538,0.002425534874863312,8.79483110109965,0
Sphere,50,0.00040302158444362256,0.0017298609898718333,0.0009221309369686196,0.004561973607081838,0.0019602919448885626,14.526803437868754,0
Sphere,100,0.0003326616897856306,0.0006617755848758644,0.0003560955859302023,0.001411199828090463,0.0007514991623792848,29.071662418047588,0
Modified Inverted DTLZ1,2,-1.9915185805015583e+88,-6.695190903472589e+86,3.573960025166431e+87,-7.825491452106887e+44,3.6361306458689103e+87,0.629437510172526,0
Modified Inverted DTLZ1,10,-2.5319413897066516e+96,-1.419988426390671e+95,5.413527344907699e+95,-3.1230529120002396e+38,5.596663778104492e+95,2.506602732340495,0
Modified Inverted DTLZ1,30,-6.400127581932452e+69,-2.285175580773016e+68,1.1489475351630545e+69,-7.736913875343689e+39,1.1714523946396078e+69,13.177370635668437,0
Modified Inverted DTLZ1,50,-4.748206918405388e+63,-2.7915989085450786e+62,1.028543634455829e+63,-8.865639240720369e+41,1.0657543115753774e+63,23.13973838488261,0
Modified Inverted DTLZ1,100,-1.8805338128313488e+67,-6.268446153367523e+65,3.375661500441558e+66,-1.9483096164097934e+44,3.4333692981297595e+66,32.65748375256856,0
Modified Inverted DTLZ7,2,inf,inf,,inf,inf,0.14591747124989826,0
Modified Inverted DTLZ7,10,inf,inf,,inf,inf,0.3819997787475586,0
Modified Inverted DTLZ7,30,inf,inf,,inf,inf,0.9136224428812663,0
Modified Inverted DTLZ7,50,inf,inf,,inf,inf,1.4610860745112102,0
Modified Inverted DTLZ7,100,inf,inf,,inf,inf,2.8442145744959513,0
