Function_ID,Name,Category,Dimension,OOA_Best_Error,OOA_Mean_Error,OOA_Std_Error,Worst_Error,Mean_Time_s
F1,F1: Shifted & Full Rotated Zakharov,Unimodal,10,0.0,0.0,0.0,0.0,7.550379460002295
F10,F10: Composition Function 2,Composition,10,0.0,0.0,0.0,0.0,21.132616299999064
F11,F11: Composition Function 3,Composition,10,1.783018888090737e-08,8.510014595231042e-08,1.2104683945820754e-07,3.265863597334828e-07,30.17227905999753
F12,F12: Composition Function 4,Composition,10,116.1713759736449,140.28354488729846,12.876669593747582,152.62593477567088,27.190213580007548
F2,F2: Shifted & Rotated Rosenbrock,Unimodal,10,3.986579112348693,3.986579522065233,5.725023246937364e-07,3.9865805814115447,8.83172642000136
F3,F3: Shifted & Full Rotated Exp Schaffer F7,Basic Multimodal,10,0.0,0.0,0.0,0.0,10.621543999994174
F4,F4: Shifted & Rotated Non-Continuous Rastrigin,Basic Multimodal,10,10.000000001715307,14.000000000349678,2.529822127597201,18.000000000015575,12.99449208000151
F5,F5: Shifted & Rotated Levy,Basic Multimodal,10,0.0,0.0,0.0,0.0,8.876259180001217
F6,F6: Hybrid Function 1,Hybrid,10,0.2495504010737477,0.3536978123288918,0.08576814929685017,0.49532886340648474,9.664224559997091
F7,F7: Hybrid Function 2,Hybrid,10,0.07459538530270038,12.731896785143999,10.133351616460818,21.494741693044944,41.609345359995494
F8,F8: Hybrid Function 3,Hybrid,10,0.49700093393539646,6.088561183897582,7.228046255664329,20.27551867110151,48.64846362000098
F9,F9: Composition Function 1,Composition,10,1.0312714948668145e-07,2.1560281311394646e-07,6.884429107278845e-08,3.0003138817846775e-07,20.20473112000036
F1,F1: Shifted & Full Rotated Zakharov,Unimodal,20,5.746219756019855e-06,1.3357139278014073e-05,1.1236653765057997e-05,3.5631395405744115e-05,7.7486174799967555
F10,F10: Composition Function 2,Composition,20,0.0,40.19834059143932,80.39668118287864,200.9917029571966,21.82397197999817
F11,F11: Composition Function 3,Composition,20,0.0001940355655278836,0.0006504475148176425,0.00038000500530967354,0.001235484916378482,29.110837080003694
F12,F12: Composition Function 4,Composition,20,226.2711622716688,231.08844781192573,2.532074166253007,232.8498612891708,24.40989682000363
F2,F2: Shifted & Rotated Rosenbrock,Unimodal,20,3.5884319130830136,39.147544245246856,17.853417631675775,49.08453401067953,9.063109599999734
F3,F3: Shifted & Full Rotated Exp Schaffer F7,Basic Multimodal,20,0.0,0.0,0.0,0.0,10.748584420001134
F4,F4: Shifted & Rotated Non-Continuous Rastrigin,Basic Multimodal,20,58.00000005135371,68.80000125445513,10.925199467817814,84.00000007104927,14.415993380002329
F5,F5: Shifted & Rotated Levy,Basic Multimodal,20,1.2834107110393234e-08,7.337546321650734e-08,4.3924210280230273e-08,1.281657660001656e-07,9.616937739998685
F6,F6: Hybrid Function 1,Hybrid,20,5945.645521955492,12323.25890197831,6178.751290535389,22316.500026427733,12.319358020005165
F7,F7: Hybrid Function 2,Hybrid,20,0.0,4.942626901092444,9.885253802184888,24.71313450546222,55.72728767999797
F8,F8: Hybrid Function 3,Hybrid,20,0.0,19.716407842285843,9.866181075642084,24.94988249392054,65.43788048000133
F9,F9: Composition Function 1,Composition,20,335.63881576702033,335.6392664422284,0.0005112857223188052,335.6401645693463,21.23876371999795
