Problem,Dim,Unit,Best_Known_Ref,OOA_Best,OOA_Mean,OOA_Std,Mean_Time_s
Pressure Vessel Design,4,Cost ($),5885.33,5637.590283094957,5637.590283094957,4.067383956680332e-13,35.188167119998255
Welded Beam Design,4,Cost ($),1.7248,1.6952247777498517,1.6952247777498517,1.7199501139797033e-16,35.94721655999892
Tension/Compression Spring,3,Weight (lb),0.012665,0.012665215037962783,0.012665215037962784,1.3437110265466432e-18,34.73132736000698
Speed Reducer (Gearbox),7,Weight (kg),2996.34,2923.865823499172,2923.8658234991726,4.067383956680332e-13,34.5506536000059
Gear Train Design,4,Ratio Error,0.0,0.0,0.0,0.0,33.90352864000597
Three-Bar Truss Design,2,Volume (cm^3),263.8958,263.46343050577127,263.46343050577127,3.595093471822542e-14,24.580755579989635
Cantilever Beam Design,5,Volume,1.3399,1.3399513732946657,1.3399513732946657,0.0,34.26767695999588
